,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1171,-0.0008528227247715665,-2.8186263093581565,48430.67251226963,24215.335372846555,252931.1472981771,236.30679321289062,0.9973253054496569,40000,32,0,34.14443612098694,0.04936666666666667,0.17196666666666666,0.00016666666666666666,63.179086116509666,0.03125,0.75,21128.195996496834,1052.15625
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1209,-0.002102133621631835,-3.1357523089800123,31448.757309194712,15724.37660913712,172171.70196814905,223.7510986328125,0.9963692712096067,80000,72,1,66.12623596191406,0.0218,0.11876666666666667,0.0,67.52022166352805,0.013888888888888888,0.8055555555555556,23374.900852668317,1048.888888888889
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1237,-0.0008638265478508308,-3.0738145938286414,35583.98138020833,17791.989878180088,183001.71283303286,135.79083251953125,0.9981534061141503,120000,108,2,96.96262907981873,0.0645,0.15103333333333332,0.00016666666666666666,62.54379742267023,0.02,0.79,22226.065727650617,1044.82
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1240,-0.0006066361312360431,-3.1737417766681086,36301.14075833834,18150.569783528645,225510.92176482372,147.8641815185547,0.9991266263219026,160000,146,3,128.99685621261597,0.029466666666666665,0.15373333333333333,6.666666666666667e-05,67.4496989908961,0.01,0.86,24113.45369350616,1063.18
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1232,-0.0023776946695318493,-3.078365932519619,49087.72334547777,24543.859263258713,236013.08658854166,110.53517150878906,0.9992315589999541,200000,186,4,162.2517158985138,0.018,0.1191,0.0001,66.69495007699805,0.01,0.81,22887.562566066423,1036.38
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1237,-0.0004346171759654028,-3.20692728360494,40653.00970865886,20326.504443046375,237747.75197315705,88.35751342773438,0.9963775983605629,240000,223,5,193.86417698860168,0.025833333333333333,0.1353,6.666666666666667e-05,65.60393258399165,0.0,0.82,24109.038329652456,1054.4
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1241,0.00019554074902911314,-3.3898145642036046,32158.71933906751,16079.35987548828,244663.7668419471,79.13971710205078,0.9987885263485786,280000,258,6,225.45374488830566,0.015433333333333334,0.12776666666666667,6.666666666666667e-05,64.80283303760135,0.0,0.85,25764.893338435715,1086.43
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1239,-0.0004103199631059304,-3.2308843556122904,46732.17725485777,23366.08823742989,283971.66155849356,61.780738830566406,0.999171104377661,320000,299,7,258.18881607055664,0.019233333333333335,0.11786666666666666,0.0001,68.52354890622648,0.01,0.86,25538.518186683967,1095.82
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1243,-0.0016332845440886628,-3.2089847777134333,38174.760259540264,19087.378514999,247543.59768379407,60.35319900512695,0.9968303453463775,360000,333,8,289.4301540851593,0.013766666666666667,0.1268,6.666666666666667e-05,68.89026030203414,0.01,0.89,26001.610742786386,1077.06
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_enhanced_v3/ppo,1248,0.0006878418765830784,-2.7992655971111398,51602.72011468349,25801.36080165765,317973.866000601,22.21065330505371,1.0003688659041357,400000,368,9,320.3873932361603,0.0635,0.21713333333333334,0.0001,56.135047172786784,0.02,0.88,25324.775127582867,1069.06
