,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1145,-0.003003470389656006,2.849738395214081,4105.532609127729,2052.763293848282,339.5056860630329,-16.665782928466797,0.999394774551575,40000,10,0,34.921770095825195,0.0291,0.0147,0.0,0.7843428572711351,1.0,0.0,-3141.879419309374,3000.0
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1246,-0.0027443946488440417,2.8554750164349874,1929.59599026411,964.7952521299704,346.4694536111294,-7.4534430503845215,1.0002944546632278,80000,20,1,64.15719294548035,0.018266666666666667,0.0257,0.0,0.8110305325732353,1.0,0.0,-2699.51902954185,3000.0
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1346,-0.0013512888772544474,2.860208102525809,1142.7186731191782,571.3579838923919,529.7968281868176,-6.554154872894287,1.0003744178475478,120000,40,2,89.11120700836182,0.021466666666666665,0.0747,0.0,0.7830303369562449,1.0,0.0,-2279.3623789401267,3000.0
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1406,-0.0038345711004997914,2.8017453869183857,288.40048260566516,144.1964074043127,306.5484003776159,3.109048366546631,1.000420040350694,160000,50,3,113.79631805419922,0.0038,0.029133333333333334,0.0,0.8389881634430016,1.0,0.0,-1828.6149737909238,3000.0
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1380,-0.012263043939795656,2.8139112018621883,7.7104604057776625,3.842967150073785,31.176305358226482,6.341203689575195,1.0000576736835334,200000,60,4,144.87293791770935,0.0,0.010433333333333333,0.0,0.9350507336755043,1.0,0.0,-1418.580647176627,3000.0
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1412,-0.02684201093074173,2.6934408096166758,7.4242340359932335,3.6852750107263907,25.725352845283656,7.343204498291016,1.0001829005968876,240000,80,5,169.86237502098083,0.0,0.0007333333333333333,0.0,1.2562271404245782,1.0,0.0,-837.1383538755111,3000.0
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1437,-0.029904558305115177,2.6100883587812764,14.480752433263339,7.2104716545496235,29.30620023012161,8.532149314880371,1.000275365740825,280000,90,6,194.81584692001343,0.0,0.0008,0.0,1.716037470379875,1.0,0.0,-572.0476470523761,3000.0
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1433,-0.024647257254811195,2.4908353394422775,45.56913442489429,22.759920027317143,45.53036030836594,11.814434051513672,1.0000751627179292,320000,100,7,223.1779100894928,0.00023333333333333333,0.0,0.0,2.4007292402108904,1.0,0.0,-312.78303603933625,3000.0
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1420,-0.020235447547523877,2.437342608739168,130.6252659455324,65.29239731324024,85.07382211654614,15.388151168823242,1.0009280189489707,360000,120,8,253.38977003097534,0.0008666666666666666,0.0,0.0,3.534353969783199,1.0,0.0,823.0367916867981,3000.0
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_multi_v3/ppo,1433,-0.01873452773046059,2.34496668943992,205.22748271746514,102.59500721662472,185.8095366098942,25.155092239379883,1.000182854403288,400000,130,9,279.0679922103882,0.0005,0.0,0.0,5.595454257966455,1.0,0.0,1466.5741758110485,3000.0
