,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1417,-0.001564136119813133,2.82340121391492,5143.128946705354,2571.5629090137973,468.8568401813507,-23.21697425842285,0.9999222703469105,40000,10,0,28.21314787864685,0.03453333333333333,0.021833333333333333,0.0,0.7804074687151228,1.0,0.0,-4747.316791629792,3000.0
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1517,-0.0022092121506993396,2.840877004770132,1442.7857171180922,721.3906489739052,302.3884732270852,-6.154142379760742,0.9997821045991702,80000,20,1,52.70537495613098,0.0077666666666666665,0.032933333333333335,0.0,0.8050473939087491,1.0,0.0,-3341.486828994751,3000.0
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1574,-0.00217352106462782,2.802903849650652,373.2985521499927,186.64710223919306,199.02428859563975,0.9571534991264343,1.0001809135461466,120000,40,2,76.21093606948853,0.0037,0.04976666666666667,0.0,0.7776577889700553,1.0,0.0,-2044.3105070352553,3000.0
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1614,-0.0016682843589641823,2.7700040710278047,1081.3962238703018,540.6964440712562,564.2659374237061,-9.39500904083252,1.0004149094988137,160000,50,3,99.11574697494507,0.018533333333333332,0.0778,0.0,0.7612393751772452,1.0,0.0,-2185.441596107483,3000.0
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1616,-0.002243798048957848,2.790915964352779,192.5678621781178,96.28168714061762,301.31223746324196,1.7578939199447632,1.0002715179553399,200000,60,4,123.69497013092041,0.0029333333333333334,0.05026666666666667,0.0,0.7494020425601748,1.0,0.0,-1868.6526198069255,3000.0
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1608,-0.004251281460090421,2.7673497890814756,2052.735584748097,1026.3635420970427,1124.9943929134272,-22.26335334777832,1.0000384967678633,240000,80,5,149.19071888923645,0.035633333333333336,0.0948,0.0,0.7266913889910209,1.0,0.0,-2204.290862441063,3000.0
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1614,-0.00445235505541906,2.746928342183431,2.587512324253718,1.2893038054307302,18.618799661214535,1.0529874563217163,0.9989032448484347,280000,90,6,173.4303948879242,0.0,0.060733333333333334,0.0,0.7443952202937271,1.0,0.0,-1956.1542708290947,3000.0
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1604,-0.006065189654980666,2.7398679207532832,0.5572557279505791,0.27256267469806167,3.5230856950848533,0.3744159936904907,1.001571790797588,320000,100,7,199.49230694770813,0.0,0.05556666666666667,0.0,0.794250886986628,1.0,0.0,-1757.2353377628326,3000.0
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1606,-0.005393872143945489,2.781057696159069,0.178738679135075,0.0839754674982172,2.0670882266301374,0.07926246523857117,1.0007617494234673,360000,120,8,224.13102412223816,0.0,0.0546,0.0,0.8001477375097626,1.0,0.0,-1082.1548485469818,3000.0
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1594,-0.0051972218853337925,2.7355696740822912,0.10127034920434921,0.04543795214625648,1.7853966642648746,-0.017096225172281265,1.000115589186167,400000,130,9,250.87700200080872,0.0,0.030333333333333334,0.0,0.7841626153187138,1.0,0.0,-981.593083820343,3000.0
10,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1601,-0.004836877666037673,2.692761663137338,0.04581983075596583,0.018073037584560015,1.3239031080825208,0.02015899494290352,1.0000361659205876,440000,140,10,274.6681830883026,0.0,0.0135,0.0,0.7887928698102109,1.0,0.0,-925.8563034439087,3000.0
11,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1612,-0.004351747879842057,2.6501636285048265,0.03522780849478948,0.013262156348075503,1.3553854264701024,0.07378257811069489,1.000548547735581,480000,160,11,297.6595540046692,0.0,0.027133333333333332,0.0,0.7722735481120478,1.0,0.0,-615.3991930961608,3000.0
12,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1621,-0.004322419031553018,2.575439250163543,0.025955452224335228,0.008655306957781507,1.3756960140588956,0.0638420507311821,1.0003299974478208,520000,170,12,320.6650869846344,0.0,0.027866666666666668,0.0,0.7669524332606006,1.0,0.0,-501.5072937297821,3000.0
13,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/train_ppo_in_multiagent_env/ppo,1627,-0.005470972249242596,2.5351228257020315,0.01647326135291503,0.002765658208861565,1.2675541368050454,0.06648564338684082,0.9997439955671629,560000,180,13,344.15054988861084,0.0,0.021733333333333334,0.0,0.7795588877901661,1.0,0.0,33.78085812568665,3000.0
