,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,1526,28.109055519104004,2999,1,1.9647438526153564,,,,0.0,,,
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,1537,27.910070419311523,5999,2,3.9027817249298096,,,,0.0,,,
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,1548,29.09592882792155,8999,3,5.811387777328491,,,,0.0,,,
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,727,-10507.660926818848,11999,4,16.49207592010498,-8.314702033996582,4.754166126251221,189.12472534179688,0.0,-8.463911056518555,-8.498739242553711,-3.5069973468780518
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,690,-10175.56229839325,12196,5,17.659891843795776,-9.31022834777832,,125.12669372558594,0.0,-9.988099098205566,-10.004007339477539,-3.3076300621032715
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,442,-13324.87566430228,15540,7,35.13408184051514,-36.293758392333984,,189.5245819091797,0.0,-37.52042770385742,-37.30937957763672,-5.460084915161133
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,361,-11661.14746517688,18540,8,51.23442578315735,-23.714204788208008,,198.38905334472656,0.0,-24.083669662475586,-24.211862564086914,-5.456280708312988
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,316,-10661.447941936138,21540,9,68.02840495109558,17.02745819091797,,88.2119369506836,0.0,17.076879501342773,16.71287727355957,-3.313680410385132
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,291,-9596.273936459795,24540,10,84.24292278289795,35.249473571777344,,164.618896484375,0.0,36.60080337524414,35.59359359741211,-3.1239140033721924
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,272,-8724.647070752288,27540,11,101.17113971710205,25.97683334350586,,212.84796142578125,0.0,27.676605224609375,26.983421325683594,-2.7315750122070312
10,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,257,-7998.243009048514,30540,12,118.55065965652466,30.771587371826172,,147.51016235351562,0.0,32.796016693115234,32.78184509277344,-3.3195104598999023
11,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,249,-7383.473028034258,33540,13,134.3683466911316,23.05078887939453,,143.93374633789062,0.0,24.272987365722656,24.517345428466797,-3.317783832550049
12,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,243,-6856.615882565135,36540,14,150.17432069778442,55.491798400878906,,75.05574035644531,0.0,56.63465881347656,56.47425079345703,-2.3417234420776367
13,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,236,-6399.896502524863,39540,15,166.86794781684875,61.256874084472656,,87.3460464477539,0.0,61.520416259765625,61.35380172729492,-1.9528379440307617
14,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,232,-6000.12952837185,42540,16,183.08448195457458,48.61978530883789,,95.8375244140625,0.0,49.12230682373047,48.973968505859375,-1.952215313911438
15,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,228,-5647.418142233044,45540,17,198.97752976417542,57.6998176574707,,58.65132522583008,0.0,58.82202911376953,59.60749053955078,-1.9532825946807861
16,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,225,-5333.8834629839075,48540,18,215.54974579811096,30.473175048828125,,88.83092498779297,0.0,30.333364486694336,30.37961769104004,-2.5388903617858887
17,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,223,-5053.30855738352,51540,19,231.03998160362244,42.53997039794922,,93.29047393798828,0.0,42.10675811767578,41.85437774658203,-1.3671948909759521
18,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,220,-4800.747259400971,54540,20,247.0064787864685,28.92718505859375,,65.99491882324219,0.0,29.555177688598633,28.50096893310547,-2.34311580657959
19,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,219,-4572.242759453577,57540,21,262.09319281578064,51.629146575927734,,38.00727844238281,0.0,51.764801025390625,51.91383361816406,-0.3904377818107605
20,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,217,-4364.5056495871395,60540,22,278.8973617553711,39.83844757080078,,110.0967025756836,0.0,39.74787139892578,38.98918914794922,-1.3669888973236084
21,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,215,-4174.838500457127,63540,23,295.48634696006775,35.5069580078125,,70.16339874267578,0.0,34.00588607788086,33.55261993408203,-1.5629123449325562
22,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,213,-4000.98291498314,66540,24,311.26598381996155,17.0555362701416,,65.56765747070312,0.0,16.243858337402344,16.746295928955078,-1.9531991481781006
23,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,212,-3841.049800509363,69540,25,327.5860548019409,16.616729736328125,,67.47745513916016,0.0,17.717811584472656,17.574264526367188,-1.5630913972854614
24,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,211,-3693.4166095613573,72540,26,343.54357075691223,11.471854209899902,,38.185909271240234,0.0,10.815587997436523,10.618730545043945,-0.9761378169059753
25,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,210,-3556.7102987315093,75540,27,359.3268258571625,19.587989807128906,,51.94341278076172,0.0,19.798097610473633,19.927690505981445,-1.7584145069122314
26,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,209,-3429.765113540127,78540,28,375.1840908527374,16.983814239501953,,25.478336334228516,0.0,16.867088317871094,16.632301330566406,-1.3671379089355469
27,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,207,-3311.5770895883184,81540,29,392.10138487815857,39.48193359375,,27.87592315673828,0.0,39.820125579833984,39.798892974853516,-0.976759672164917
28,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,207,-3201.2625098060817,84540,30,408.3814888000488,10.623517036437988,,43.976036071777344,0.0,9.914774894714355,9.908926963806152,-1.1725808382034302
29,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,206,-3098.0694379029014,87540,31,424.47492504119873,23.940473556518555,,73.75650787353516,0.0,24.82496452331543,25.358806610107422,-0.9771103262901306
30,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,205,-3001.3124996564584,90540,32,441.00022768974304,12.66808795928955,,29.568218231201172,0.0,13.346148490905762,12.62197208404541,-1.1716153621673584
31,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,204,-2910.436724647541,93540,33,457.6574037075043,9.18283462524414,,23.5323486328125,0.0,9.039435386657715,8.792667388916016,-1.3672410249710083
32,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,203,-2824.9031016538465,96540,34,474.1405806541443,17.469806671142578,,28.12767791748047,0.0,18.095252990722656,17.68882942199707,0.002238516928628087
33,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,202,-2744.272803510193,99540,35,490.52370977401733,9.70193862915039,,55.01763916015625,0.0,9.857110977172852,10.217698097229004,-0.9749369621276855
34,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,200,-2668.141313406432,102540,36,510.2657787799835,0.8985917568206787,,17.91343116760254,0.0,0.4186818599700928,0.364560604095459,-1.170046329498291
35,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_v9/td3,199,-2596.1729550354585,105540,37,529.9763858318329,8.007667541503906,,72.49127197265625,0.0,7.743788719177246,8.46233081817627,-0.7815257906913757
