,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
21,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1559,140.32076505109458,-0.0008468159581892765,1.414599726903133,71.73837318420411,71.73752624316093,523.2512995988894,1.7839455604553223,1.0001132673177964,440000,2018,21,282.09521102905273,0.0
22,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1558,153.52437547868897,-0.0014644957463949536,1.431221501949506,71.53978247520251,71.53831777817163,576.0182155315692,1.9213017225265503,0.9997851833319052,460000,2119,22,295.12743401527405,0.0
23,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1556,144.04469892916683,0.0016581366253563036,1.383481819048906,86.75389802394768,86.75555630219289,648.2820003607334,1.0251096487045288,0.9993003888772084,480000,2228,23,308.29915285110474,0.01
24,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1556,149.0956354008363,0.0035686148927570917,1.340775872499515,78.23434608655099,78.23791497548422,701.8770284603803,1.0836362838745117,1.0002699044270393,500000,2337,24,321.1669969558716,0.01
25,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1556,140.38704344338842,-0.0005366995530680587,1.2605834557459905,84.69591335883507,84.69537682166467,724.8168819916554,1.3988349437713623,0.9999937558021301,520000,2457,25,334.0870358943939,0.02
26,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1556,137.67191591531383,0.0016652220898928742,1.2559067547321319,87.21592715336726,87.21759243500539,732.4122543530586,1.2259138822555542,0.9998360233429151,540000,2581,26,346.89087891578674,0.0
27,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1554,147.51464952720008,0.002693601619774619,1.2069163360656836,73.37809744614822,73.38079112615341,771.7233106759878,1.246667742729187,0.9991784872917029,560000,2704,27,360.26103615760803,0.0
28,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1553,152.1401397433652,-0.0001272266485895484,1.1832466963009955,82.36191359788944,82.36178622612586,902.427892166529,1.2082948684692383,0.9998699052211566,580000,2825,28,373.4082748889923,0.01
29,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1550,144.14497835030818,0.0011920622591741193,1.186222932736079,80.396388283754,80.39758023971166,856.9837239583334,0.5681720972061157,0.99994033292318,600000,2949,29,386.8863251209259,0.01
30,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1546,133.5541818103775,-0.0005905366060921015,1.1214714467525482,109.42850150572949,109.42791113242124,995.3039028461163,-0.502633810043335,0.9995799456651394,620000,3073,30,400.8675220012665,0.0
31,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1537,144.99831732764454,-0.0006279330915556504,1.1362230736475725,92.04705135638898,92.04642399518917,827.7411433097644,0.4075101912021637,0.99960388029233,640000,3198,31,416.19267106056213,0.0
32,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1527,140.53489370369115,0.002163382276940422,1.1026318553930674,101.2762972953992,101.27846102103209,928.4853774633164,0.022216204553842545,1.0007780060554161,660000,3322,32,432.0869691371918,0.0
33,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1521,144.23196751489328,-0.0009666817668729868,1.11158394240416,87.27281886858817,87.27185232700445,853.6816084837302,0.02042202837765217,1.000245171938187,680000,3444,33,446.85721707344055,0.0
34,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1516,156.22896917141412,0.001975494968251158,1.1406056228356483,75.18829067914913,75.19026617392515,788.4042942536183,0.511476457118988,0.9998645941416423,700000,3556,34,461.5967149734497,0.02
35,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1514,153.1679042208485,-3.4483355613282094e-06,1.0513335594764122,70.25264850518643,70.25264541919415,836.9814431997446,0.8175904154777527,1.0007852023992783,720000,3673,35,475.51904106140137,0.01
36,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1507,146.55032760126113,0.003338263376365201,1.0517394010837262,73.45839096460587,73.46172936268341,991.9483193030724,0.8297656178474426,1.000099085462399,740000,3794,36,491.00919914245605,0.03
37,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1502,159.461267338748,0.0013716077029060287,1.071237629499191,70.04024249834892,70.04161403362568,1065.4727466289814,1.2929320335388184,1.0004322923146762,760000,3909,37,505.82591104507446,0.04
38,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1502,172.70668242515345,-2.6382200228862274e-05,1.1076812294813303,76.69815535423083,76.698129150195,1048.1716029240536,1.5741431713104248,0.999895499379207,780000,4015,38,519.2703890800476,0.08
39,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1499,196.4172714075096,0.001975230680098041,1.1612460810404557,73.46599805783003,73.46797307332356,1073.1489710685535,1.4850444793701172,1.0007688676699613,800000,4102,39,533.6742939949036,0.07
40,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1497,222.0186590863046,0.001202246270333536,1.2103733921662354,65.37692424089481,65.37812653566019,1125.2685432238457,1.9059348106384277,1.0003744777196493,820000,4178,40,547.6418039798737,0.21
41,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1494,212.3837813214037,-0.0013682439666575729,1.1396081979458148,74.45412271450728,74.45275405981602,1021.4867478199494,1.6647303104400635,0.9992111309980735,840000,4263,41,562.079794883728,0.2
42,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1491,219.53533913184492,0.0010059769641464719,1.132815278493441,81.83190028850849,81.83290667411609,1173.0019957713591,0.79561448097229,1.0004963736503552,860000,4346,42,576.411780834198,0.19
43,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1491,206.88440764829508,0.0005744553215873356,1.125906787163172,77.57146079234587,77.57203546181704,1170.9724147698819,0.8044795393943787,0.999442017231232,880000,4431,43,589.9181759357452,0.13
44,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1492,206.9338609983784,0.0034451510563182335,1.1015013351654395,88.4170314739912,88.42047643416967,1301.9703495123447,0.8074759840965271,1.0005645285814235,900000,4511,44,603.1163740158081,0.16
45,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1489,239.45710047261755,-0.0010807348133172266,1.1397795530465933,66.07999095427684,66.07891008915045,1056.3899386283679,1.2367867231369019,0.9999260942141215,920000,4581,45,617.774407863617,0.29
46,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1487,250.46029026657843,0.0007696057528030509,1.123149949617875,66.44914920513446,66.44991872249506,1291.95968361879,1.219501256942749,1.0008345525234172,940000,4646,46,631.7434449195862,0.38
47,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1487,259.1285515841265,0.0016216001449487149,1.1080747352960783,63.84078622964712,63.84240774007944,1160.5914525741186,1.3430976867675781,1.0007852929524885,960000,4711,47,645.3736979961395,0.34
48,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1487,244.5322839297334,0.0003199744208429295,1.115559775248552,70.55942770640056,70.55974765679775,1484.9397259051984,0.5101763010025024,1.0006228236815868,980000,4781,48,658.9897558689117,0.29
49,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1481,275.13932967970544,0.004502600378607615,1.1371657016949777,52.60546720944918,52.609969760210085,1382.4089135976938,0.6265900135040283,0.9996253528656104,1000000,4838,49,675.1706070899963,0.46
50,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1478,260.4985573714234,0.00019583409795394312,1.1136918255916008,72.12196348141401,72.1221592487433,1529.0255595280573,0.5518953204154968,1.000335792471201,1020000,4907,50,689.9883651733398,0.42
