,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2382,-0.0016360943643704581,2.871469009381074,4087.7642312074317,2043.8517698630308,1831.5514430999756,-17.07706069946289,0.9998189586095321,40000,10,0,16.788251161575317,0.014333333333333333,0.0,0.0,0.799823983347241,1.0,0.0,-3210.244988131928,3000.0
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2596,-0.0021665899218836176,2.879414437673031,4747.531616758689,2373.734844188201,2055.38592492128,-19.334896087646484,1.0002241213352252,80000,20,1,30.81245732307434,0.014966666666666666,0.0,0.0,0.8289079030382539,1.0,0.0,-3720.0809997985075,3000.0
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2630,0.000192370199604342,2.953191010768597,846.3894433467816,423.1653843084971,1509.9939207908435,-1.059664249420166,1.0007147818421707,120000,40,2,45.62704825401306,0.0,0.0,0.0,0.8352981295062509,1.0,0.0,-2259.2142429626856,3000.0
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2602,-0.0026966082441130987,2.976119465705676,1412.167700444735,706.0513935186924,2934.947552128327,-4.93520975112915,0.9996150138668525,160000,50,3,61.48430109024048,0.0082,0.0,0.0,0.8620602724652084,1.0,0.0,-2059.437616452041,3000.0
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2519,-0.0006162612028837872,3.016808332999547,414.2520109249995,207.09522134065628,1275.0044467779305,-1.0457477569580078,1.000540408339256,200000,60,4,79.38084506988525,0.0023333333333333335,0.0,0.0,0.837295086888561,1.0,0.0,-1789.7332355733552,3000.0
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2553,-0.003723523549613161,3.2095586328934402,29.43012071695083,14.679241210451494,317.033964738479,0.7226673364639282,0.9982766648897758,240000,80,5,93.99645519256592,0.0001,0.0,0.0,0.9129955458801994,1.0,0.0,-1291.9818343917145,3000.0
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2620,-0.01685467215302663,3.193212276391494,1.8980606063436238,0.9002435096467917,154.3020724330193,0.7469061017036438,1.000468502747707,280000,90,6,106.86434197425842,0.0,0.0,0.0,1.0824233416250666,1.0,0.0,-1102.2378551603617,3000.0
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2661,0.000818339582063998,3.2727646474654857,324.8948421218456,162.41551188902977,1232.380363689936,0.3373929262161255,1.00000348927883,320000,100,7,120.23929119110107,0.0016666666666666668,0.0,0.0,1.357050953133361,1.0,0.0,-943.1762287197815,3000.0
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2649,-0.013823255578217168,3.2419254628511576,3.523640422255565,1.715577701612925,97.14194678541942,1.2425676584243774,0.9997239581285379,360000,120,8,135.8611330986023,0.0,0.0,0.0,1.4372318376851556,1.0,0.0,-125.51618175410124,3000.0
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2648,-0.0026146823883232756,3.2077645107721673,199.31913823210277,99.62487752177776,469.54807336681927,2.249835252761841,1.0002630395384935,400000,130,9,151.03775000572205,0.0,0.0,0.0,2.025284497954406,1.0,0.0,133.69757172572565,3000.0
10,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2619,-0.0230452592307045,3.098193412560683,5.861579193518712,2.8767623997651612,103.46221361977932,3.2121636867523193,0.9991857358278372,440000,140,10,167.9827823638916,0.0,0.0,0.0,2.484133098064785,1.0,0.0,196.9011619327649,3000.0
11,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2615,-0.007344083065981976,3.0289917576007355,84.35801482108923,42.141373287103114,314.71672806250746,4.487184047698975,1.000959170781649,480000,160,11,183.51461124420166,0.0008666666666666666,0.0,0.0,3.6834030232766923,1.0,0.0,618.0781865879972,3000.0
12,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2627,-0.008059889046573796,2.8977181679163224,246.63718918898167,123.28155731971447,344.1955165716318,8.09674072265625,0.9995332582638814,520000,170,12,197.90712809562683,0.0008,0.0,0.0,5.72698649194541,1.0,0.0,836.1207494064914,3000.0
13,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_single_v3/ppo,2623,-0.012503593239540724,2.7448913966998076,45.17331637602586,22.54670571852953,251.55566990039287,10.756643295288086,0.9997873411728786,560000,180,13,213.45269513130188,0.00016666666666666666,0.0,0.0,7.064985521130209,1.0,0.0,1066.1396643698438,3000.0
