,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-1Env-v0,761,11.20776427173466,2001,2,2.6261110305786133,,,,0.0,,,
1,MetaDrive-Tut-1Env-v0,731,11.551906566206355,3002,3,4.105976104736328,,,,0.0,,,
2,MetaDrive-Tut-1Env-v0,720,11.957990499117498,4003,4,5.555009126663208,,,,0.0,,,
3,MetaDrive-Tut-1Env-v0,720,12.179532535677305,5004,5,6.9493701457977295,,,,0.0,,,
4,MetaDrive-Tut-1Env-v0,717,11.104996938525417,6751,7,9.40428900718689,,,,0.0,,,
5,MetaDrive-Tut-1Env-v0,720,10.343821191949576,7740,8,10.742704153060913,,,,0.0,,,
6,MetaDrive-Tut-1Env-v0,724,10.488401939453412,8741,9,12.067214250564575,,,,0.0,,,
7,MetaDrive-Tut-1Env-v0,719,10.636581102564596,9742,10,13.53414511680603,,,,0.0,,,
8,MetaDrive-Tut-1Env-v0,707,10.855497686593194,10065,11,14.225669145584106,0.014027263969182968,-0.03184680640697479,0.0023889350704848766,0.0,0.016619252040982246,0.013820205815136433,0.013251655735075474
9,MetaDrive-Tut-1Env-v0,527,-0.17073587759817566,11002,57,20.86267113685608,0.07524192333221436,,0.01650572568178177,0.0,0.03544900193810463,0.03132285922765732,0.025011533871293068
10,MetaDrive-Tut-1Env-v0,437,-0.6098079382562344,12021,67,27.4897940158844,0.05910269170999527,-0.14226436614990234,0.39566951990127563,0.0,0.10660021752119064,0.1306319683790207,-0.020576128736138344
11,MetaDrive-Tut-1Env-v0,389,-1.211151024672654,13010,86,33.43960404396057,0.11948702484369278,,0.21107277274131775,0.0,0.11725166440010071,0.10844412446022034,-0.016304142773151398
12,MetaDrive-Tut-1Env-v0,360,-1.1724186036633035,14011,87,38.84325909614563,0.20043599605560303,-0.27639442682266235,0.25234121084213257,0.0,0.23972982168197632,0.21197959780693054,-0.01500731986016035
13,MetaDrive-Tut-1Env-v0,339,-1.1335210998929415,15012,88,44.212024211883545,0.18474629521369934,,0.12280172854661942,0.0,0.1612292230129242,0.1704864352941513,-0.024485858157277107
14,MetaDrive-Tut-1Env-v0,322,-1.0974513751857942,16013,89,49.642691135406494,0.21932484209537506,-0.25545239448547363,0.06831015646457672,0.0,0.19364428520202637,0.17369917035102844,-0.038195978850126266
15,MetaDrive-Tut-1Env-v0,308,-1.064225481279018,17014,90,55.102452993392944,0.2613431513309479,,0.022495640441775322,0.0,0.23992320895195007,0.24253487586975098,0.016045384109020233
16,MetaDrive-Tut-1Env-v0,296,-1.0303196716682355,18015,91,60.77429509162903,0.3251774311065674,-0.3598201870918274,0.006842656992375851,0.0,0.3520665168762207,0.3385169804096222,0.019991038367152214
17,MetaDrive-Tut-1Env-v0,287,-0.9980531981467501,19016,92,66.14059019088745,0.2231450229883194,,0.013770765624940395,0.0,0.20573332905769348,0.2019706666469574,0.016965074464678764
18,MetaDrive-Tut-1Env-v0,279,-0.9671950399020812,20017,93,71.52971315383911,0.31342148780822754,-0.33536332845687866,0.008306046947836876,0.0,0.2951749563217163,0.312997043132782,-0.0027655228041112423
19,MetaDrive-Tut-1Env-v0,273,-0.9383890771768414,21018,94,76.94411325454712,0.3391467034816742,,0.012107926420867443,0.0,0.2957637906074524,0.29883885383605957,0.014270291663706303
20,MetaDrive-Tut-1Env-v0,266,-0.9081474728058297,22019,95,82.52096724510193,0.13256289064884186,-0.1551821231842041,0.007066919002681971,0.0,0.11370484530925751,0.12848971784114838,0.012722883373498917
21,MetaDrive-Tut-1Env-v0,261,-0.8786498782221418,23020,96,87.93456411361694,0.10153913497924805,,0.30012941360473633,0.0,0.08153997361660004,0.08713696897029877,-0.06272289156913757
22,MetaDrive-Tut-1Env-v0,257,-0.8534112334331325,24021,97,93.39284205436707,0.05711090937256813,-0.07157242298126221,0.004787222016602755,0.0,0.09051842242479324,0.05391760915517807,0.005826503969728947
23,MetaDrive-Tut-1Env-v0,253,-0.8225016996338201,25022,98,98.76079726219177,0.1177157610654831,,0.022329341620206833,0.0,0.13511745631694794,0.11447569727897644,0.01442792173475027
24,MetaDrive-Tut-1Env-v0,249,-0.793234331060847,26023,99,104.14693713188171,0.14208510518074036,-0.14129425585269928,0.03286075219511986,0.0,0.18699981272220612,0.1393885314464569,-0.008831828832626343
25,MetaDrive-Tut-1Env-v0,246,-0.7626607598533167,27024,100,109.56142616271973,0.12283812463283539,,0.07838413119316101,0.0,0.13514745235443115,0.1439312994480133,-0.007063630037009716
26,MetaDrive-Tut-1Env-v0,243,-0.8506667733481342,28025,101,114.96408605575562,0.13208463788032532,-0.12675416469573975,0.003304337151348591,0.0,0.10737727582454681,0.1113383024930954,0.010509198531508446
27,MetaDrive-Tut-1Env-v0,241,-0.9419608550588039,29026,102,120.36654424667358,0.17204783856868744,,0.324321448802948,0.0,0.20050165057182312,0.19086167216300964,-0.02877398580312729
28,MetaDrive-Tut-1Env-v0,238,-1.0407591865216899,30027,103,125.85909819602966,0.14573875069618225,-0.17535951733589172,0.003875118214637041,0.0,0.14020369946956635,0.15966898202896118,0.009768694639205933
29,MetaDrive-Tut-1Env-v0,236,-1.1495446494029067,31028,104,131.2860221862793,0.27483028173446655,,0.14256298542022705,0.0,0.3053513169288635,0.2851836085319519,-0.013676266185939312
30,MetaDrive-Tut-1Env-v0,232,-1.2298873382298587,32073,146,138.1224730014801,0.21622200310230255,-0.2122909426689148,0.013280214741826057,0.0,0.18518231809139252,0.19192402064800262,0.009395727887749672
31,MetaDrive-Tut-1Env-v0,229,0.35843600260736375,33033,161,144.0901141166687,0.3574517071247101,-0.39688563346862793,0.1829904019832611,0.0,0.33483418822288513,0.36063092947006226,-0.0006204955279827118
32,MetaDrive-Tut-1Env-v0,226,1.9187025697678712,34072,176,150.46169328689575,0.5113260746002197,,0.247952401638031,0.0,0.5078807473182678,0.5105756521224976,-0.012340489774942398
33,MetaDrive-Tut-1Env-v0,223,3.6659142959752034,35042,191,156.68414425849915,0.6252891421318054,,0.2833368182182312,0.0,0.705058217048645,0.7166452407836914,-0.003723232075572014
34,MetaDrive-Tut-1Env-v0,220,5.254121480769803,36075,207,163.24539017677307,0.6938053369522095,-0.8003151416778564,0.8402478694915771,0.0,0.7914718389511108,0.7804310917854309,-0.03324665501713753
35,MetaDrive-Tut-1Env-v0,218,7.726081889583058,37026,222,169.27716517448425,0.786973237991333,,0.07666698843240738,0.0,0.7544032335281372,0.7779434323310852,0.0311367716640234
36,MetaDrive-Tut-1Env-v0,216,9.834389719329874,38008,238,175.66434407234192,0.8520190715789795,,0.0619991309940815,0.0,0.8365858197212219,0.8289085626602173,0.01794365979731083
37,MetaDrive-Tut-1Env-v0,214,11.043847885064377,39049,256,182.38980507850647,1.0094417333602905,-1.0767898559570312,0.8103493452072144,0.0,1.0073596239089966,1.004309892654419,0.0034074531868100166
38,MetaDrive-Tut-1Env-v0,212,12.234238230427064,40030,272,188.73246717453003,1.4356777667999268,,0.0650530755519867,0.0,1.4087975025177002,1.3998162746429443,0.05746575444936752
39,MetaDrive-Tut-1Env-v0,210,13.259251706152027,41012,288,195.13859009742737,1.7273476123809814,,0.3851631283760071,0.0,1.6743354797363281,1.6160659790039062,0.05223920941352844
40,MetaDrive-Tut-1Env-v0,208,14.374597110593347,42065,305,201.92541217803955,2.002591609954834,-2.053971290588379,0.0752672404050827,0.0,1.9475843906402588,1.9714162349700928,0.07382763922214508
41,MetaDrive-Tut-1Env-v0,206,14.941370403537722,43017,320,208.06144905090332,2.2242958545684814,-2.323002338409424,0.48782238364219666,0.0,2.253425121307373,2.205287456512451,0.06698526442050934
42,MetaDrive-Tut-1Env-v0,205,15.51375587850467,44057,336,214.69331812858582,2.4354400634765625,-2.6101696491241455,0.7456989288330078,0.0,2.458777666091919,2.4898524284362793,0.06358266621828079
43,MetaDrive-Tut-1Env-v0,203,16.06257837781823,45013,352,220.83580422401428,2.769296646118164,-2.7933123111724854,0.13351665437221527,0.0,2.7048492431640625,2.670292377471924,0.065263532102108
44,MetaDrive-Tut-1Env-v0,202,17.286591022910333,46061,367,227.6135971546173,2.7643771171569824,-2.9396474361419678,0.2380685657262802,0.0,2.747798442840576,2.73573899269104,0.07575584948062897
45,MetaDrive-Tut-1Env-v0,200,18.810242646794464,47120,382,234.49730110168457,3.468226194381714,,1.0351247787475586,0.0,3.497150182723999,3.452270030975342,0.07403655350208282
46,MetaDrive-Tut-1Env-v0,199,19.136265885438334,48079,399,240.69442105293274,3.428739070892334,-3.6363346576690674,1.3590998649597168,0.0,3.502748489379883,3.529646873474121,0.0451509952545166
47,MetaDrive-Tut-1Env-v0,198,19.79543772152557,49019,413,246.7668421268463,3.642550468444824,-3.761209726333618,1.026705265045166,0.0,3.63157057762146,3.6269047260284424,0.0737658143043518
48,MetaDrive-Tut-1Env-v0,197,20.968378385909045,50085,429,253.61628222465515,4.0309319496154785,-4.253100395202637,1.1787142753601074,0.0,4.0247907638549805,4.103214263916016,0.10586080700159073
49,MetaDrive-Tut-1Env-v0,196,23.221143256904114,51036,441,259.92005920410156,4.151315212249756,,0.2331753373146057,0.0,4.041811943054199,4.15039587020874,0.12852664291858673
50,MetaDrive-Tut-1Env-v0,195,24.83708820471172,52047,450,266.6451201438904,4.465672969818115,-4.6676459312438965,3.874437093734741,0.0,4.508439064025879,4.520890235900879,0.07432138919830322
51,MetaDrive-Tut-1Env-v0,194,25.397351474454613,53048,451,273.30972695350647,4.888369083404541,,1.4302119016647339,0.0,4.979513168334961,4.915251731872559,0.0492437407374382
