,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
18,Pendulum-v1,51,-550.9183950750185,19199,96,371.87797021865845,63.33297348022461,10.082710266113281,-65.16541290283203,-64.94476318359375,-64.10481262207031,-2.8482744693756104
19,Pendulum-v1,51,-525.5922118668736,20199,101,391.8429684638977,73.31578826904297,17.676559448242188,-75.22099304199219,-74.6151123046875,-74.42862701416016,-2.9668502807617188
20,Pendulum-v1,51,-476.4093992009676,21199,106,412.0897808074951,58.583038330078125,11.312772750854492,-59.83290100097656,-60.401554107666016,-60.449214935302734,-2.4616189002990723
21,Pendulum-v1,51,-408.70830621843226,22199,111,432.13520646095276,52.65330505371094,8.839553833007812,-54.491634368896484,-53.7850456237793,-53.31566619873047,-2.1282410621643066
22,Pendulum-v1,51,-345.26057812167033,23199,116,452.44828486442566,61.733253479003906,160.6839141845703,-62.380088806152344,-63.432037353515625,-63.403297424316406,-2.7554538249969482
23,Pendulum-v1,51,-286.67564989781073,24199,121,473.0706841945648,64.88969421386719,6.9828033447265625,-66.86666870117188,-67.3660888671875,-66.81505584716797,-2.6494832038879395
24,Pendulum-v1,51,-244.59676258044684,25199,126,493.0572512149811,50.35890197753906,6.963596343994141,-53.02617645263672,-52.61919403076172,-52.150230407714844,-1.8978536128997803
25,Pendulum-v1,50,-214.31249170989372,26199,131,514.316920042038,48.8550910949707,419.50396728515625,-50.38239288330078,-50.3680419921875,-51.31692123413086,-2.2147161960601807
26,Pendulum-v1,50,-183.76872461749645,27199,136,534.9515953063965,47.63704299926758,6.690158843994141,-49.94971466064453,-49.421592712402344,-49.35326385498047,-1.9669774770736694
27,Pendulum-v1,50,-164.86003126623459,28199,141,554.7276878356934,43.55891418457031,5.1518378257751465,-44.082489013671875,-44.9938850402832,-44.453369140625,-1.7816178798675537
28,Pendulum-v1,50,-158.45800349677697,29199,146,574.5474548339844,51.23067855834961,24.316631317138672,-53.30094528198242,-52.57961654663086,-52.799720764160156,-2.1584291458129883
29,Pendulum-v1,50,-161.00293486279435,30199,151,594.3817827701569,46.778560638427734,14.371820449829102,-48.57202911376953,-48.17821502685547,-48.28960418701172,-1.9941353797912598
30,Pendulum-v1,50,-158.52371749374402,31199,156,614.4471802711487,38.405487060546875,9.709342002868652,-39.680755615234375,-40.069915771484375,-39.534996032714844,-2.0459213256835938
31,Pendulum-v1,50,-153.31962252772436,32199,161,633.7963058948517,46.828758239746094,86.88801574707031,-48.623008728027344,-48.25509262084961,-48.952964782714844,-2.195213794708252
32,Pendulum-v1,50,-152.08174038839113,33199,166,652.9753906726837,49.12921905517578,482.8748779296875,-50.0788459777832,-50.72040939331055,-50.53260040283203,-1.9754379987716675
33,Pendulum-v1,50,-150.90493075559863,34199,171,672.6111714839935,46.559391021728516,351.08184814453125,-46.691017150878906,-47.896305084228516,-47.24616241455078,-2.001744270324707
34,Pendulum-v1,50,-142.6455977511713,35199,176,692.69384765625,43.01063537597656,8.080666542053223,-44.32170867919922,-43.798606872558594,-44.38585662841797,-1.6058883666992188
35,Pendulum-v1,50,-146.16161712252787,36199,181,712.8289129734039,37.96530532836914,403.5780029296875,-38.581607818603516,-39.33918762207031,-39.24760055541992,-1.867527961730957
36,Pendulum-v1,50,-146.1637440177066,37199,186,735.2759635448456,39.73444747924805,5.644741058349609,-40.79448699951172,-40.818077087402344,-40.58243179321289,-1.7807685136795044
37,Pendulum-v1,50,-147.34501146389385,38199,191,755.5263862609863,39.895320892333984,8.881084442138672,-41.33538818359375,-41.007991790771484,-40.980621337890625,-1.8551791906356812
38,Pendulum-v1,50,-146.98666473742165,39199,196,775.2470021247864,36.74518966674805,8.758338928222656,-38.610721588134766,-38.80028533935547,-38.080955505371094,-2.0439822673797607
39,Pendulum-v1,50,-143.36345091456877,40199,201,795.2136089801788,39.27431869506836,466.0966796875,-39.11094284057617,-39.991119384765625,-40.322898864746094,-1.6258281469345093
40,Pendulum-v1,50,-142.2730707781353,41199,206,815.4940626621246,38.834815979003906,9.638195991516113,-39.94099807739258,-40.243221282958984,-39.43084716796875,-1.66636323928833
41,Pendulum-v1,50,-143.27396154065417,42199,211,835.4032998085022,32.68001174926758,8.73565673828125,-33.79640197753906,-33.55746078491211,-33.3624153137207,-1.5778179168701172
42,Pendulum-v1,50,-146.96392517802093,43199,216,855.2668089866638,35.8807258605957,7.83265495300293,-36.71839904785156,-36.41943359375,-36.745548248291016,-1.5015019178390503
43,Pendulum-v1,50,-147.35172810684665,44199,221,874.7633860111237,36.994083404541016,482.97845458984375,-37.072052001953125,-38.166908264160156,-37.8236083984375,-1.6157711744308472
44,Pendulum-v1,50,-144.3333612760748,45199,226,894.2827045917511,36.29351806640625,391.54766845703125,-37.27033996582031,-38.01628875732422,-37.95844650268555,-1.590340256690979
45,Pendulum-v1,50,-145.7284341779814,46199,231,914.0135567188263,28.645099639892578,4.1994524002075195,-29.039518356323242,-29.10450553894043,-29.014076232910156,-1.6578030586242676
46,Pendulum-v1,50,-142.9032856912466,47199,236,933.9377031326294,26.406278610229492,3.5616021156311035,-26.85496711730957,-27.162939071655273,-26.927457809448242,-1.1265640258789062
47,Pendulum-v1,50,-144.19084737970488,48199,241,953.9335050582886,28.503416061401367,3.523958206176758,-29.331348419189453,-29.38835906982422,-29.338838577270508,-1.44936203956604
48,Pendulum-v1,50,-148.9796330542361,49199,246,973.7688961029053,37.99364471435547,58.47045135498047,-39.17457580566406,-39.360260009765625,-39.49116516113281,-1.8479758501052856
