,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1682,6.978522289803983,-0.00526978312066207,2.787462533131624,0.1269301168525066,0.12166033214561116,1.0699638330783598,0.16806712746620178,0.9996837127667207,20000,20,0,11.885846138000488,0.0
1,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1747,9.453348112056435,-0.009727532633293706,2.7313367855854525,0.14346605627200543,0.13373852434988992,1.1896746250681387,0.21996040642261505,0.9999391539738729,40000,46,1,22.89559817314148,0.0
2,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1819,11.459189132969236,-0.01003882614716601,2.650620834644024,0.25589752005269895,0.24585869511326727,1.5031310744392565,0.29106512665748596,1.0013124343676445,60000,72,2,32.980579137802124,0.0
3,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1780,14.117590454290198,-0.008255396398136583,2.5813045168534305,0.39946124237508346,0.3912058461812707,1.8519848559529353,0.38184449076652527,1.0005143659237103,80000,102,3,44.91932487487793,0.0
4,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1758,18.439438153212226,-0.00815131671469993,2.512231271083538,0.8408594046647732,0.8327080886524457,2.4863029167820248,0.4796713888645172,0.999796279042195,100000,148,4,56.86781907081604,0.0
5,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1722,17.813191502855922,-0.0075722981502528855,2.456064751209357,1.3880779941876729,1.3805056954041506,3.6285746548420343,0.537185549736023,0.9992079713405707,120000,213,5,69.65919709205627,0.0
6,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1722,20.403452681113105,-0.009497976433246945,2.3856151427978123,1.5228878780053212,1.5133899028484639,5.656619118574338,0.7742065191268921,0.9991055854620078,140000,272,6,81.29751086235046,0.0
7,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1726,32.05741056724599,-0.010218157059548852,2.2929819846764588,2.454534515662071,2.4443163570685265,7.9158944538770575,1.272966742515564,0.9998025692426241,160000,327,7,92.69246506690979,0.0
8,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1735,50.04539794781362,-0.009160256152375578,2.198680133697314,3.6388524347390883,3.6296921711701615,11.769762156407038,1.8215947151184082,0.9988349022009434,180000,380,8,103.70384693145752,0.0
9,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1728,69.4767624860379,-0.010585388978525328,2.1269864342151545,5.204734055812542,5.194148636475587,20.383033974965414,2.2958598136901855,0.9998071247950578,200000,433,9,115.72765707969666,0.0
10,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1720,85.11273099771215,-0.0061642391048968796,1.9892027436158597,9.474016665189694,9.467852422518607,37.62587348436698,3.029979705810547,0.9988564101549295,220000,501,10,127.83479499816895,0.0
11,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1699,89.6914678502354,-0.006633927695488987,1.8753736411913848,18.716566595664393,18.709932763759905,64.80888521732429,3.8166961669921875,0.9998704601556827,240000,596,11,141.18365597724915,0.01
12,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1687,105.94103495218017,-0.004479067339203679,1.7839172192108936,27.155988908425357,27.151509788708807,93.94457838474176,4.488333702087402,0.9999974478513767,260000,690,12,154.11975502967834,0.01
13,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1678,102.02379030890177,-0.0026585901636654178,1.666580943725048,40.24173138447297,40.239072858370264,117.98813584401057,4.012848854064941,1.0003893379217539,280000,797,13,166.79357385635376,0.0
14,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1662,127.55759077076553,-0.002908188802524446,1.6057810791027851,49.24148628039238,49.23857814837725,145.81341937383016,4.3578386306762695,1.0001422340289141,300000,891,14,180.49429416656494,0.0
15,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1650,139.29009093636134,-0.0012400909956807318,1.5467905292144188,60.013411213801454,60.01217122200208,160.9253774887476,3.9374194145202637,0.9999798993269603,320000,986,15,193.83316898345947,0.02
16,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1646,142.4453300897876,-0.0005617794395687106,1.534004089465508,62.41963097988031,62.41906913855137,204.31009430518517,3.2116782665252686,1.000069274657812,340000,1082,16,206.51882696151733,0.01
17,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1641,146.3200173406803,-0.0006756486311459388,1.4984280745188394,70.07193536513891,70.07126011970716,239.9034083341941,2.838287591934204,1.0001869494334246,360000,1183,17,219.35509610176086,0.0
